customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;TenureMonthsBinned;TotalServiceAddons;HasPaperlessElectronicPayment;AverageMonthlyChargePerTenure;Churn
CUS100000;Male;Yes;Yes;Yes;53;Yes;No phone service;No;No internet service;No internet service;No;Yes;No;Yes;One year;Yes;Electronic check;71.11;4046.9;49-72 Months;0;Yes;76.36;
CUS100001;Female;No;No;No;33;Yes;No;DSL;No;Yes;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);67.49;2549.53;25-48 Months;5;No;77.26;
CUS100002;Male;No;No;Yes;16;No;Yes;Fiber optic;Yes;No;No;Yes;No;No internet service;One year;Yes;Mailed check;31.31;490.86;13-24 Months;4;No;30.68;
CUS100003;Male;No;Yes;Yes;32;No;No phone service;No;No;Yes;No;Yes;No internet service;No internet service;One year;Yes;Credit card (automatic);30.22;901.46;25-48 Months;1;Yes;28.17;
CUS100004;Male;Yes;Yes;No;3;Yes;No phone service;DSL;No internet service;No internet service;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);23.45;374.62;0-12 Months;5;Yes;124.87;
CUS100005;Male;No;Yes;No;8;No;Yes;DSL;No;No;No;Yes;No;No internet service;One year;No;Electronic check;23.84;69.16;0-12 Months;1;Yes;8.64;
CUS100006;Female;Yes;Yes;Yes;14;No;Yes;No;No;No internet service;No;No internet service;Yes;Yes;Month-to-month;No;Credit card (automatic);57.1;970.19;13-24 Months;6;Yes;69.3;
CUS100007;Male;No;Yes;No;71;No;Yes;DSL;Yes;Yes;Yes;Yes;No internet service;Yes;Month-to-month;Yes;Electronic check;52.04;3640.79;49-72 Months;2;Yes;51.28;
CUS100008;Female;Yes;No;No;21;Yes;No phone service;No;Yes;Yes;No internet service;No;Yes;No internet service;Month-to-month;Yes;Mailed check;36.48;517.39;13-24 Months;3;No;24.64;
CUS100009;Female;Yes;No;No;12;No;No;DSL;No;No;No internet service;No internet service;Yes;No internet service;Two year;Yes;Bank transfer (automatic);75.22;936.66;0-12 Months;3;Yes;78.05;
CUS100010;Female;Yes;No;Yes;47;No;No phone service;DSL;Yes;No;Yes;No internet service;No internet service;No;Two year;No;Bank transfer (automatic);69.63;3359.14;25-48 Months;4;Yes;71.47;
CUS100011;Female;No;Yes;Yes;1;Yes;No;No;No;No;Yes;No internet service;No;Yes;One year;No;Bank transfer (automatic);91.95;91.95;0-12 Months;3;Yes;91.95;
CUS100012;Male;No;Yes;No;36;Yes;No phone service;Fiber optic;No internet service;No;Yes;Yes;No;No;Two year;No;Mailed check;39.88;1498.27;25-48 Months;2;Yes;41.62;
CUS100013;Male;Yes;Yes;Yes;2;Yes;Yes;DSL;Yes;Yes;No internet service;Yes;Yes;No internet service;One year;No;Electronic check;115.15;176.31;0-12 Months;0;Yes;88.16;
CUS100014;Male;Yes;Yes;No;48;No;No phone service;DSL;No internet service;No;Yes;Yes;No internet service;No internet service;One year;No;Credit card (automatic);25.91;1107.46;25-48 Months;1;No;23.07;
CUS100015;Female;No;Yes;No;37;Yes;No phone service;Fiber optic;No internet service;No internet service;No internet service;No internet service;No;No;One year;No;Credit card (automatic);20.32;767.37;25-48 Months;5;Yes;20.74;
CUS100016;Male;Yes;Yes;Yes;1;No;Yes;No;No;No internet service;No internet service;No internet service;Yes;Yes;Month-to-month;No;Bank transfer (automatic);83.95;83.95;0-12 Months;4;No;83.95;
CUS100017;Female;No;No;No;32;Yes;No phone service;DSL;Yes;No;No;No internet service;No;No;Month-to-month;No;Electronic check;49.84;1449.75;25-48 Months;1;Yes;45.3;
CUS100018;Female;No;Yes;No;65;Yes;No;Fiber optic;Yes;Yes;Yes;No;No internet service;No internet service;One year;Yes;Credit card (automatic);24.95;1553.49;49-72 Months;5;No;23.9;
CUS100019;Male;Yes;No;No;13;No;No;No;Yes;No internet service;No internet service;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);25.84;122.31;13-24 Months;2;No;9.41;
CUS100020;Male;Yes;Yes;Yes;14;No;Yes;No;No internet service;No;No;Yes;No internet service;Yes;Two year;No;Credit card (automatic);85.06;858.75;13-24 Months;4;No;61.34;
CUS100021;Female;Yes;No;No;48;Yes;No;Fiber optic;No;No internet service;No internet service;No internet service;Yes;No internet service;Two year;No;Bank transfer (automatic);33.27;1553.21;25-48 Months;3;No;32.36;
CUS100022;Female;No;Yes;Yes;37;No;Yes;DSL;No;No internet service;No internet service;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);56.33;2219.28;25-48 Months;4;Yes;59.98;
CUS100023;Female;No;Yes;Yes;26;No;Yes;DSL;No internet service;No;No;No;No;Yes;Two year;Yes;Credit card (automatic);36.99;1039.76;25-48 Months;3;No;39.99;
CUS100024;Male;No;No;Yes;29;No;No;DSL;Yes;No;Yes;No internet service;No internet service;Yes;One year;Yes;Bank transfer (automatic);101.24;2668.47;25-48 Months;3;No;92.02;
CUS100025;Female;No;Yes;Yes;56;No;No phone service;DSL;No internet service;Yes;Yes;No;No internet service;Yes;Month-to-month;No;Credit card (automatic);32.46;1463.19;49-72 Months;5;Yes;26.13;
CUS100026;Female;No;Yes;Yes;47;No;No;Fiber optic;No;No;No;No internet service;Yes;Yes;Two year;Yes;Mailed check;113.5;5199.04;25-48 Months;6;Yes;110.62;
CUS100027;Male;No;No;No;37;Yes;No phone service;Fiber optic;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);73.79;2683.23;25-48 Months;3;No;72.52;
CUS100028;Male;Yes;Yes;Yes;58;No;No phone service;No;Yes;No internet service;No;Yes;No internet service;Yes;Two year;Yes;Electronic check;105.02;5946.71;49-72 Months;3;Yes;102.53;
CUS100029;Male;Yes;Yes;Yes;24;Yes;No phone service;No;Yes;Yes;No;No;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);35.51;700.56;13-24 Months;6;Yes;29.19;
CUS100030;Female;Yes;Yes;Yes;52;Yes;Yes;Fiber optic;No internet service;Yes;No internet service;No internet service;Yes;No;One year;No;Credit card (automatic);91.74;4688.18;49-72 Months;4;No;90.16;
CUS100031;Female;Yes;No;Yes;28;Yes;No phone service;DSL;No;No;Yes;No;No internet service;No internet service;Month-to-month;Yes;Mailed check;111.42;3249.95;25-48 Months;4;No;116.07;
CUS100032;Male;Yes;No;Yes;20;No;No phone service;DSL;No;No;Yes;No internet service;No internet service;No internet service;Two year;No;Mailed check;99.41;2047.45;13-24 Months;3;No;102.37;
CUS100033;Male;Yes;Yes;Yes;25;No;No phone service;DSL;No internet service;No;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);79.07;2254.69;25-48 Months;0;Yes;90.19;
CUS100034;Male;No;Yes;Yes;43;No;No phone service;DSL;Yes;Yes;No internet service;No internet service;No internet service;No;Month-to-month;No;Credit card (automatic);101.82;4493.24;25-48 Months;0;No;104.49;
CUS100035;Male;No;Yes;No;41;Yes;No;DSL;Yes;Yes;Yes;No internet service;Yes;Yes;Month-to-month;No;Electronic check;54.71;2445.82;25-48 Months;6;Yes;59.65;
CUS100036;Male;Yes;Yes;No;52;Yes;No phone service;No;No;No internet service;No;No;Yes;No internet service;Two year;Yes;Bank transfer (automatic);85.73;4594.46;49-72 Months;6;No;88.36;
CUS100037;Male;No;No;No;72;Yes;Yes;DSL;No;No;No internet service;Yes;No;No;One year;Yes;Electronic check;51.13;3804.31;49-72 Months;3;Yes;52.84;
CUS100038;Male;No;No;No;55;Yes;No phone service;DSL;No;No internet service;No internet service;No;No internet service;Yes;One year;Yes;Credit card (automatic);115.5;6454.15;49-72 Months;3;Yes;117.35;
CUS100039;Male;No;No;No;71;Yes;Yes;Fiber optic;No;No internet service;Yes;No;Yes;No internet service;Two year;No;Credit card (automatic);106.89;7459.76;49-72 Months;5;No;105.07;
CUS100040;Female;No;No;No;37;No;No phone service;Fiber optic;No;No;Yes;Yes;No internet service;Yes;Month-to-month;No;Credit card (automatic);77.11;2988.92;25-48 Months;6;No;80.78;
CUS100041;Female;Yes;No;No;64;Yes;Yes;No;No internet service;No internet service;No;Yes;No;No internet service;Two year;Yes;Electronic check;60.24;3626.08;49-72 Months;3;Yes;56.66;
CUS100042;Male;No;No;Yes;63;Yes;Yes;Fiber optic;No internet service;No;No internet service;No;Yes;Yes;One year;Yes;Mailed check;37.43;2247.96;49-72 Months;2;Yes;35.68;
CUS100043;Male;Yes;Yes;Yes;38;Yes;No;No;No;Yes;No internet service;No internet service;Yes;No;One year;No;Mailed check;75.04;2813.62;25-48 Months;3;Yes;74.04;
CUS100044;Male;Yes;Yes;No;23;No;Yes;Fiber optic;Yes;No internet service;Yes;No internet service;No;Yes;Two year;No;Mailed check;68.12;1421.77;13-24 Months;3;No;61.82;
CUS100045;Female;No;No;Yes;10;Yes;No phone service;DSL;Yes;No internet service;No internet service;Yes;No internet service;No;Two year;No;Bank transfer (automatic);32.4;601.03;0-12 Months;5;No;60.1;
CUS100046;Female;No;Yes;Yes;27;Yes;No phone service;DSL;No internet service;No;No internet service;No;Yes;Yes;Month-to-month;No;Mailed check;44.69;897.32;25-48 Months;4;Yes;33.23;
CUS100047;Male;Yes;No;Yes;40;No;Yes;DSL;No internet service;No;No;Yes;No internet service;No;One year;Yes;Bank transfer (automatic);67.69;2532.8;25-48 Months;5;Yes;63.32;
CUS100048;Female;No;No;No;71;No;No;DSL;Yes;Yes;No internet service;No internet service;No;Yes;Two year;No;Bank transfer (automatic);75.19;5359.22;49-72 Months;0;No;75.48;
CUS100049;Male;Yes;Yes;Yes;21;Yes;Yes;No;No;Yes;No;No internet service;No internet service;Yes;Month-to-month;No;Mailed check;43.79;662.44;13-24 Months;4;Yes;31.54;
CUS100050;Female;Yes;No;Yes;10;Yes;Yes;DSL;No;Yes;Yes;No internet service;Yes;No internet service;One year;No;Bank transfer (automatic);98.49;1084.72;0-12 Months;5;Yes;108.47;
CUS100051;Male;Yes;No;No;6;No;No;No;No;Yes;No internet service;No internet service;No internet service;Yes;Two year;No;Mailed check;116.06;296.58;0-12 Months;2;No;49.43;
CUS100052;Male;No;Yes;Yes;72;Yes;Yes;Fiber optic;No internet service;No;No internet service;No internet service;Yes;Yes;Month-to-month;No;Electronic check;47.87;3636.47;49-72 Months;4;Yes;50.51;
CUS100053;Female;No;No;Yes;18;No;No phone service;Fiber optic;No internet service;No internet service;No internet service;No;No internet service;Yes;Month-to-month;Yes;Credit card (automatic);72.61;1096.71;13-24 Months;2;No;60.93;
CUS100054;Male;Yes;No;Yes;24;No;No;No;No;No;Yes;Yes;No internet service;No internet service;Two year;Yes;Electronic check;110.7;2884.21;13-24 Months;5;Yes;120.18;
CUS100055;Female;No;Yes;Yes;26;Yes;Yes;No;No internet service;No;No internet service;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;74.7;2202.09;25-48 Months;4;Yes;84.7;
CUS100056;Male;Yes;No;No;39;No;No;DSL;Yes;Yes;No;Yes;No;No;Two year;Yes;Electronic check;68.53;2783.7;25-48 Months;2;Yes;71.38;
CUS100057;Female;No;Yes;No;61;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;One year;No;Credit card (automatic);92.23;5700.18;49-72 Months;2;Yes;93.45;
CUS100058;Female;No;Yes;Yes;39;No;No phone service;No;No internet service;Yes;No internet service;Yes;No;Yes;Month-to-month;Yes;Electronic check;21.25;761.99;25-48 Months;0;Yes;19.54;
CUS100059;Female;No;Yes;Yes;57;No;No;DSL;No internet service;Yes;No internet service;No;No internet service;Yes;Month-to-month;Yes;Bank transfer (automatic);67.19;4203.07;49-72 Months;6;No;73.74;
CUS100060;Female;Yes;No;No;27;No;No;No;Yes;No internet service;Yes;No internet service;No;Yes;Two year;Yes;Bank transfer (automatic);109.33;3278.51;25-48 Months;0;Yes;121.43;
CUS100061;Male;Yes;Yes;No;6;Yes;No;Fiber optic;No internet service;No;Yes;Yes;No internet service;No;One year;No;Electronic check;25.33;18.32;0-12 Months;5;Yes;3.05;
CUS100062;Male;No;No;No;20;Yes;Yes;Fiber optic;No internet service;Yes;No;Yes;No;Yes;Month-to-month;No;Electronic check;50.97;850.01;13-24 Months;3;Yes;42.5;
CUS100063;Female;No;No;Yes;22;Yes;Yes;No;Yes;No internet service;No internet service;No internet service;No internet service;No;One year;Yes;Electronic check;90.2;2165.56;13-24 Months;2;Yes;98.43;
CUS100064;Male;Yes;No;No;30;No;Yes;No;No internet service;Yes;Yes;Yes;Yes;No;Month-to-month;Yes;Electronic check;86.78;2445.26;25-48 Months;5;Yes;81.51;
CUS100065;Female;No;Yes;Yes;41;No;No;No;No internet service;No;No internet service;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);70.83;2816.8;25-48 Months;6;Yes;68.7;
CUS100066;Female;No;Yes;Yes;64;No;Yes;DSL;No;Yes;No;Yes;No;No internet service;Month-to-month;No;Electronic check;51.91;3292.24;49-72 Months;2;Yes;51.44;
CUS100067;Male;No;No;Yes;32;No;No;Fiber optic;Yes;No;No;No;Yes;No;Two year;Yes;Bank transfer (automatic);61.26;1987.69;25-48 Months;3;No;62.12;
CUS100068;Male;No;No;No;6;No;No;DSL;No;No internet service;No internet service;No internet service;Yes;No;One year;Yes;Mailed check;67.72;564.07;0-12 Months;3;No;94.01;
CUS100069;Male;No;Yes;No;9;No;No phone service;Fiber optic;Yes;Yes;No;No internet service;No;Yes;Month-to-month;Yes;Bank transfer (automatic);25.75;265.23;0-12 Months;4;Yes;29.47;
CUS100070;Male;Yes;No;No;57;Yes;No;No;Yes;Yes;No;No;No internet service;Yes;One year;Yes;Bank transfer (automatic);61.0;3270.8;49-72 Months;2;No;57.38;
CUS100071;Female;No;No;No;55;No;Yes;DSL;No internet service;No internet service;No;Yes;Yes;No internet service;One year;Yes;Electronic check;72.24;4019.55;49-72 Months;1;Yes;73.08;
CUS100072;Female;No;Yes;Yes;19;No;No;No;No;Yes;No;Yes;Yes;No internet service;Two year;No;Bank transfer (automatic);111.99;1980.93;13-24 Months;4;No;104.26;
CUS100073;Female;No;No;No;35;No;Yes;DSL;Yes;No internet service;No;Yes;No internet service;No;One year;Yes;Bank transfer (automatic);96.84;3437.79;25-48 Months;6;Yes;98.22;
CUS100074;Male;Yes;No;Yes;41;No;No;Fiber optic;Yes;No;No internet service;No;No;No internet service;Two year;Yes;Mailed check;80.81;3252.42;25-48 Months;2;No;79.33;
CUS100075;Male;Yes;Yes;No;61;Yes;No;No;No;No internet service;No;No internet service;No;No internet service;One year;Yes;Credit card (automatic);61.68;3847.1;49-72 Months;0;No;63.07;
CUS100076;Male;Yes;No;No;42;No;No phone service;No;Yes;No internet service;No;No internet service;No;No;Two year;No;Credit card (automatic);113.71;5079.41;25-48 Months;4;No;120.94;
CUS100077;Female;Yes;Yes;No;68;No;Yes;Fiber optic;No;Yes;No;No;No internet service;No;Two year;No;Electronic check;22.68;1523.8;49-72 Months;2;Yes;22.41;
CUS100078;Female;Yes;Yes;Yes;34;No;No phone service;Fiber optic;Yes;No internet service;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);114.9;4196.2;25-48 Months;2;Yes;123.42;
CUS100079;Female;No;No;No;56;Yes;Yes;DSL;No;No internet service;No;No internet service;Yes;Yes;Two year;No;Mailed check;90.3;4776.71;49-72 Months;2;No;85.3;
CUS100080;Male;Yes;No;Yes;29;Yes;No phone service;No;No internet service;No;Yes;No;Yes;Yes;Two year;No;Electronic check;69.61;1996.32;25-48 Months;5;Yes;68.84;
CUS100081;Male;No;No;No;54;Yes;Yes;DSL;No;No;No internet service;No internet service;Yes;No;Month-to-month;Yes;Bank transfer (automatic);70.61;3971.75;49-72 Months;2;Yes;73.55;
CUS100082;Male;Yes;No;Yes;13;No;No;DSL;Yes;Yes;Yes;No internet service;No;No internet service;Two year;No;Mailed check;52.65;960.07;13-24 Months;6;No;73.85;
CUS100083;Female;No;No;No;50;No;No phone service;No;Yes;No;No internet service;Yes;No internet service;No;One year;No;Credit card (automatic);100.63;5087.22;49-72 Months;1;No;101.74;
CUS100084;Male;Yes;No;No;52;No;Yes;No;No;No;No internet service;Yes;No;Yes;One year;No;Bank transfer (automatic);32.72;1785.08;49-72 Months;4;No;34.33;
CUS100085;Female;Yes;Yes;No;54;Yes;Yes;DSL;No;No internet service;No internet service;Yes;No;No;Month-to-month;No;Electronic check;48.76;2773.6;49-72 Months;6;Yes;51.36;
CUS100086;Male;No;No;Yes;66;Yes;No;Fiber optic;Yes;No internet service;Yes;No internet service;Yes;Yes;Two year;Yes;Mailed check;103.4;6827.51;49-72 Months;3;No;103.45;
CUS100087;Female;No;Yes;Yes;42;No;No;Fiber optic;No;No internet service;No;No;Yes;No internet service;One year;Yes;Bank transfer (automatic);39.17;1853.34;25-48 Months;4;Yes;44.13;
CUS100088;Male;Yes;No;No;54;No;Yes;No;Yes;No;No internet service;Yes;Yes;No internet service;One year;No;Mailed check;76.99;4166.34;49-72 Months;4;Yes;77.15;
CUS100089;Female;Yes;Yes;No;41;No;Yes;Fiber optic;No internet service;No internet service;No internet service;Yes;Yes;No;Month-to-month;No;Electronic check;86.42;3480.89;25-48 Months;5;Yes;84.9;
CUS100090;Male;No;Yes;Yes;3;Yes;No;No;Yes;No;No;No;Yes;Yes;Two year;No;Bank transfer (automatic);24.86;0.0;0-12 Months;0;Yes;0.0;
CUS100091;Female;Yes;No;No;64;No;No phone service;DSL;Yes;Yes;Yes;No internet service;No internet service;Yes;Month-to-month;No;Credit card (automatic);54.7;3092.38;49-72 Months;6;No;48.32;
CUS100092;Male;No;Yes;Yes;17;No;Yes;Fiber optic;No;No;No internet service;No;No;No internet service;One year;Yes;Bank transfer (automatic);83.88;1382.22;13-24 Months;2;Yes;81.31;
CUS100093;Female;No;No;No;9;Yes;No phone service;DSL;No;No;No;Yes;No;Yes;One year;No;Mailed check;83.68;816.93;0-12 Months;1;No;90.77;
CUS100094;Female;No;No;Yes;70;No;No;DSL;No;No;Yes;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);78.57;5430.62;49-72 Months;3;No;77.58;
