"customerID";"gender";"SeniorCitizen";"Partner";"Dependents";"tenure";"PhoneService";"MultipleLines";"InternetService";"OnlineSecurity";"OnlineBackup";"DeviceProtection";"TechSupport";"StreamingTV";"StreamingMovies";"Contract";"PaperlessBilling";"PaymentMethod";"MonthlyCharges";"TotalCharges";"Churn";"TenureMonthsBinned";"TotalServiceAddons";"HasPaperlessElectronicPayment";"AverageMonthlyChargePerTenure"
"0002-ORFBO";"Female";"No";"Yes";"Yes";9;"Yes";"No";"DSL";"No";"Yes";"No";"Yes";"Yes";"No";"One year";"Yes";"Mailed check";65.6;593.3;"No";"0-12 Months";3;"No";65.922222
"0003-MKNFE";"Male";"No";"No";"No";9;"Yes";"Yes";"DSL";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"No";"Mailed check";59.9;542.4;"No";"0-12 Months";1;"No";60.266667
"0004-TLHLJ";"Male";"No";"No";"No";4;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";73.9;280.85;"Yes";"0-12 Months";1;"Yes";70.2125
"0011-IGKFF";"Male";"Yes";"Yes";"No";13;"Yes";"No";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";98.0;1237.85;"Yes";"13-24 Months";4;"Yes";95.219231
"0013-EXCHZ";"Female";"Yes";"Yes";"No";3;"Yes";"No";"Fiber optic";"No";"No";"No";"Yes";"Yes";"No";"Month-to-month";"Yes";"Mailed check";83.9;267.4;"Yes";"0-12 Months";2;"No";89.133333
"0013-MHZWF";"Female";"No";"No";"Yes";9;"Yes";"No";"DSL";"No";"No";"No";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Credit card (automatic)";69.4;571.45;"No";"0-12 Months";3;"No";63.494444
"0013-SMEOE";"Female";"Yes";"Yes";"No";71;"Yes";"No";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Bank transfer (automatic)";109.7;7904.25;"No";"49-72 Months";6;"No";111.327465
"0014-BMAQU";"Male";"No";"Yes";"No";63;"Yes";"Yes";"Fiber optic";"Yes";"No";"No";"Yes";"No";"No";"Two year";"Yes";"Credit card (automatic)";84.65;5377.8;"No";"49-72 Months";2;"No";85.361905
"0015-UOCOJ";"Female";"Yes";"No";"No";7;"Yes";"No";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";48.2;340.35;"No";"0-12 Months";1;"Yes";48.621429
"0016-QLJIS";"Female";"No";"Yes";"Yes";65;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Mailed check";90.45;5957.9;"No";"49-72 Months";6;"No";91.66
"0017-DINOC";"Male";"No";"No";"No";54;"No";"No phone service";"DSL";"Yes";"No";"No";"Yes";"Yes";"No";"Two year";"No";"Credit card (automatic)";45.2;2460.55;"No";"49-72 Months";3;"No";45.565741
"0017-IUDMW";"Female";"No";"Yes";"Yes";72;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Credit card (automatic)";116.8;8456.75;"No";"49-72 Months";6;"No";117.454861
"0018-NYROU";"Female";"No";"Yes";"No";5;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";68.95;351.5;"No";"0-12 Months";0;"Yes";70.3
"0019-EFAEP";"Female";"No";"No";"No";72;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"No";"Yes";"No";"Two year";"Yes";"Bank transfer (automatic)";101.3;7261.25;"No";"49-72 Months";4;"No";100.850694
"0019-GFNTW";"Female";"No";"No";"No";56;"No";"No phone service";"DSL";"Yes";"Yes";"Yes";"Yes";"No";"No";"Two year";"No";"Bank transfer (automatic)";45.05;2560.1;"No";"49-72 Months";4;"No";45.716071
"0020-INWCK";"Female";"No";"Yes";"Yes";71;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"No";"Yes";"Two year";"Yes";"Credit card (automatic)";95.75;6849.4;"No";"49-72 Months";3;"No";96.470423
"0020-JDNXP";"Female";"No";"Yes";"Yes";34;"No";"No phone service";"DSL";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"One year";"No";"Mailed check";61.25;1993.2;"No";"25-48 Months";5;"No";58.623529
"0021-IKXGC";"Female";"Yes";"No";"No";1;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";72.1;72.1;"No";"0-12 Months";0;"Yes";72.1
"0022-TCJCI";"Male";"Yes";"No";"No";45;"Yes";"No";"DSL";"Yes";"No";"Yes";"No";"No";"Yes";"One year";"No";"Credit card (automatic)";62.7;2791.5;"Yes";"25-48 Months";3;"No";62.033333
"0023-HGHWL";"Male";"Yes";"No";"No";1;"No";"No phone service";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";25.1;25.1;"Yes";"0-12 Months";0;"Yes";25.1
"0023-UYUPN";"Female";"Yes";"Yes";"No";50;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Electronic check";25.2;1306.3;"No";"49-72 Months";0;"No";26.126
"0023-XUOPT";"Female";"No";"Yes";"No";13;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"No";"Month-to-month";"No";"Electronic check";94.1;1215.6;"Yes";"13-24 Months";3;"No";93.507692
"0027-KWYKW";"Female";"No";"Yes";"Yes";23;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Electronic check";83.75;1849.95;"No";"13-24 Months";1;"Yes";80.432609
